ax,ay,az,gx,gy,gz,mx,my,mz,heading,pitch,roll
0.021,-0.523,-0.875,0.062,0.014,-0.133,-28.95,-255.15,-10.2,195.61,1.95,-23.11
0.021,-0.523,-0.875,0.054,0.003,-0.065,-29.7,-254.4,-10.65,195.74,2.01,-23.42
0.028,-0.52,-0.876,0.031,0.003,0.007,-30.9,-254.7,-9.15,195.87,2.07,-23.73
0.02,-0.524,-0.877,0.006,-0.01,0.126,-30.3,-255.3,-10.35,196.0,2.13,-24.04
0.011,-0.534,-0.88,0.006,-0.011,0.127,-30.15,-255.6,-9.15,196.13,2.2,-24.35
0.011,-0.534,-0.88,0.015,-0.008,0.083,-29.85,-254.55,-10.05,196.25,2.26,-24.66
0.013,-0.535,-0.886,0.044,0.01,-0.065,-28.5,-255.75,-11.1,196.38,2.33,-24.97
0.018,-0.528,-0.88,0.059,0.01,-0.115,-28.65,-255.6,-11.4,196.5,2.39,-25.28
0.018,-0.528,-0.88,0.06,0.012,-0.131,-29.4,-254.7,-9.9,196.62,2.45,-25.59
0.03,-0.52,-0.877,0.039,0.001,-0.029,-28.95,-253.95,-9.9,196.74,2.51,-25.9
0.024,-0.528,-0.882,0.026,-0.006,0.051,-30.15,-256.35,-9.15,196.86,2.58,-26.21
0.015,-0.528,-0.879,0.008,-0.012,0.13,-29.4,-255.9,-9.9,196.98,2.64,-26.52
0.015,-0.528,-0.879,0.014,-0.007,0.1,-29.4,-255.9,-9.9,197.09,2.71,-26.83
0.01,-0.533,-0.882,0.021,-0.007,0.038,-29.25,-256.05,-10.05,197.2,2.78,-27.14
0.021,-0.534,-0.884,0.055,0.009,-0.095,-29.85,-255.0,-10.35,197.32,2.85,-27.45
0.021,-0.534,-0.884,0.057,0.014,-0.118,-28.95,-254.7,-9.9,197.42,2.91,-27.76
0.02,-0.526,-0.874,0.056,0.006,-0.106,-30.3,-255.75,-9.3,197.53,2.98,-28.07
0.028,-0.53,-0.874,0.029,0.002,0.013,-30.3,-255.75,-9.3,197.64,3.04,-28.38
0.016,-0.528,-0.879,0.016,-0.004,0.079,-30.3,-255.75,-9.3,197.74,3.11,-28.69
0.016,-0.528,-0.879,0.011,-0.008,0.12,-29.4,-254.7,-9.45,197.85,3.18,-29.0
0.013,-0.539,-0.886,0.024,-0.002,0.064,-28.65,-255.15,-9.45,197.95,3.25,-29.31
0.009,-0.533,-0.885,0.03,-0.002,-0.006,-27.9,-255.15,-9.15,198.05,3.33,-29.62
0.009,-0.533,-0.885,0.058,0.014,-0.111,-28.8,-254.55,-9.3,198.15,3.4,-29.93
0.018,-0.529,-0.878,0.056,0.006,-0.119,-28.8,-254.55,-9.3,198.25,3.47,-30.24
0.022,-0.521,-0.882,0.046,0.002,-0.076,-30.6,-255.75,-10.05,198.34,3.54,-30.55
0.02,-0.525,-0.879,0.02,-0.006,0.058,-31.65,-254.7,-10.65,198.44,3.61,-30.86
0.02,-0.525,-0.879,0.012,-0.013,0.104,-29.85,-253.8,-10.05,198.53,3.68,-31.17
0.019,-0.529,-0.881,0.01,-0.007,0.12,-29.7,-255.15,-10.95,198.63,3.75,-31.48
0.009,-0.538,-0.883,0.032,0.001,0.025,-29.7,-255.15,-10.95,198.72,3.82,-31.79
0.009,-0.538,-0.883,0.041,0.005,-0.047,-28.8,-255.75,-9.3,198.81,3.9,-32.1
0.013,-0.527,-0.885,0.049,0.011,-0.098,-28.8,-255.75,-10.35,198.89,3.97,-32.41
0.022,-0.523,-0.879,0.054,0.006,-0.091,-29.55,-254.55,-9.0,198.98,4.04,-32.72
0.023,-0.523,-0.881,0.042,0.003,-0.038,-30.3,-256.5,-9.3,199.06,4.11,-33.04
0.023,-0.523,-0.881,0.016,-0.01,0.089,-30.3,-256.5,-9.3,199.15,4.18,-33.35
0.015,-0.525,-0.884,0.01,-0.009,0.11,-30.9,-255.9,-9.45,199.23,4.26,-33.66
0.016,-0.532,-0.884,0.016,-0.005,0.099,-29.4,-255.9,-10.65,199.31,4.33,-33.97
0.016,-0.532,-0.884,0.037,0.002,-0.016,-29.4,-255.15,-10.95,199.39,4.4,-34.28
0.013,-0.533,-0.884,0.048,0.01,-0.073,-28.8,-254.55,-10.05,199.47,4.48,-34.59
0.017,-0.53,-0.877,0.055,0.011,-0.106,-28.8,-254.55,-10.05,199.54,4.55,-34.9
0.023,-0.524,-0.878,0.041,0.005,-0.06,-30.15,-255.15,-9.45,199.62,4.62,-35.21
0.023,-0.524,-0.878,0.038,0.001,0.001,-29.55,-256.5,-9.75,199.69,4.69,-35.53
0.026,-0.523,-0.88,0.025,-0.009,0.063,-29.7,-255.9,-8.7,199.76,4.76,-35.84
0.009,-0.531,-0.884,0.009,-0.005,0.103,-29.55,-255.75,-8.55,199.83,4.84,-36.15
0.009,-0.531,-0.884,0.014,-0.007,0.07,-29.55,-255.75,-8.55,199.9,4.92,-36.46
0.011,-0.531,-0.884,0.043,0.005,-0.053,-29.55,-255.75,-8.55,199.97,4.99,-36.77
0.013,-0.533,-0.883,0.051,0.013,-0.094,-28.95,-255.6,-9.45,200.03,5.07,-37.08
0.025,-0.524,-0.88,0.053,0.01,-0.107,-29.4,-255.9,-10.95,200.1,5.14,-37.39
0.025,-0.524,-0.88,0.04,0.0,-0.022,-29.85,-255.3,-8.55,200.16,5.21,-37.71
0.03,-0.521,-0.883,0.029,-0.003,0.035,-29.85,-255.3,-8.55,200.22,5.28,-38.02
0.014,-0.532,-0.881,0.018,-0.011,0.081,-29.85,-255.3,-8.55,200.28,5.36,-38.33
0.014,-0.532,-0.881,0.02,-0.005,0.088,-29.25,-256.5,-9.75,200.34,5.43,-38.64
0.009,-0.537,-0.879,0.028,-0.005,0.034,-29.55,-256.5,-9.75,200.4,5.51,-38.95
0.012,-0.529,-0.877,0.038,0.004,-0.019,-29.7,-255.15,-9.9,200.45,5.58,-39.26
0.016,-0.528,-0.881,0.054,0.005,-0.104,-28.8,-255.0,-9.75,200.51,5.65,-39.57
0.016,-0.528,-0.881,0.053,0.008,-0.09,-28.8,-255.0,-9.75,200.56,5.73,-39.89
0.022,-0.523,-0.875,0.033,-0.002,0.008,-30.3,-255.75,-10.05,200.61,5.8,-40.2
0.026,-0.525,-0.873,0.023,-0.01,0.057,-29.7,-255.15,-10.2,200.67,5.87,-40.51
0.026,-0.525,-0.873,0.012,-0.005,0.094,-29.85,-255.75,-10.05,200.72,5.94,-40.82
0.014,-0.529,-0.888,0.019,-0.005,0.057,-29.4,-255.15,-9.9,200.77,6.02,-41.13
0.007,-0.531,-0.877,0.032,-0.001,0.011,-28.2,-255.15,-10.65,200.81,6.09,-41.45
0.013,-0.531,-0.881,0.038,0.009,-0.045,-28.5,-255.3,-11.1,200.86,6.16,-41.76
0.013,-0.531,-0.881,0.052,0.006,-0.09,-28.8,-254.55,-10.05,200.9,6.24,-42.07
0.017,-0.524,-0.881,0.049,0.006,-0.068,-30.45,-256.35,-9.45,200.95,6.31,-42.38
0.019,-0.522,-0.875,0.039,0.001,-0.018,-29.85,-256.05,-9.3,200.99,6.38,-42.69
0.019,-0.522,-0.875,0.02,-0.005,0.076,-29.85,-255.75,-10.35,201.03,6.45,-43.0
0.011,-0.526,-0.881,0.013,-0.011,0.096,-28.8,-255.0,-10.35,201.07,6.53,-43.32
0.012,-0.532,-0.882,0.028,-0.003,0.027,-30.3,-255.0,-10.05,201.11,6.6,-43.63
0.014,-0.536,-0.882,0.035,0.002,-0.026,-28.5,-256.5,-10.05,201.15,6.67,-43.94
0.014,-0.536,-0.882,0.044,0.005,-0.068,-30.3,-255.3,-10.05,201.18,6.74,-44.25
0.017,-0.529,-0.882,0.051,0.009,-0.079,-28.2,-254.7,-9.9,201.21,6.81,-44.56
0.017,-0.524,-0.881,0.043,0.007,-0.044,-28.2,-254.7,-9.9,201.25,6.89,-44.88
0.017,-0.524,-0.881,0.034,-0.004,0.006,-29.7,-254.4,-9.45,201.28,6.96,-45.19
0.014,-0.528,-0.883,0.019,-0.005,0.086,-29.55,-256.05,-9.3,201.31,7.03,-45.5
0.012,-0.533,-0.882,0.015,-0.007,0.083,-29.55,-254.55,-9.3,201.34,7.1,-45.81
0.015,-0.532,-0.882,0.027,-0.006,0.05,-28.65,-255.15,-10.65,201.37,7.17,-46.13
0.015,-0.532,-0.882,0.041,0.007,-0.049,-28.65,-255.15,-10.65,201.4,7.24,-46.44
0.01,-0.53,-0.876,0.049,0.005,-0.08,-29.7,-255.9,-9.45,201.42,7.31,-46.75
0.018,-0.528,-0.876,0.047,0.005,-0.061,-29.7,-255.6,-8.7,201.45,7.38,-47.06
0.018,-0.528,-0.876,0.033,-0.002,-0.016,-29.85,-255.0,-10.05,201.47,7.45,-47.38
0.022,-0.526,-0.878,0.028,-0.007,0.035,-29.4,-255.15,-9.45,201.49,7.51,-47.69
0.018,-0.529,-0.884,0.012,-0.006,0.082,-29.4,-255.15,-9.45,201.51,7.58,-48.0
0.016,-0.531,-0.887,0.019,-0.003,0.064,-28.8,-255.75,-9.0,201.53,7.65,-48.31
0.016,-0.531,-0.887,0.03,0.002,0.02,-28.5,-254.55,-9.3,201.55,7.72,-48.63
0.013,-0.536,-0.881,0.047,0.009,-0.065,-29.7,-255.9,-8.7,201.57,7.78,-48.94
0.016,-0.528,-0.88,0.048,0.007,-0.08,-28.05,-256.05,-10.8,201.58,7.85,-49.25
0.016,-0.528,-0.88,0.046,0.005,-0.07,-29.55,-255.0,-9.75,201.6,7.92,-49.57
0.021,-0.524,-0.878,0.028,-0.0,0.015,-30.3,-254.55,-9.3,201.61,7.98,-49.88
0.019,-0.528,-0.879,0.021,-0.011,0.055,-29.55,-255.75,-10.8,201.63,8.05,-50.19
0.012,-0.525,-0.881,0.022,-0.011,0.069,-29.25,-255.0,-9.3,201.64,8.11,-50.5
0.012,-0.525,-0.881,0.025,0.001,0.044,-28.8,-256.95,-9.75,201.65,8.18,-50.82
0.016,-0.536,-0.88,0.035,0.0,-0.004,-28.65,-254.7,-10.2,201.66,8.24,-51.13
0.013,-0.529,-0.885,0.044,0.004,-0.074,-28.65,-255.6,-9.9,201.67,8.31,-51.44
0.013,-0.529,-0.885,0.049,0.007,-0.073,-29.4,-255.15,-9.45,201.68,8.37,-51.76
0.027,-0.524,-0.884,0.046,0.003,-0.048,-30.45,-255.9,-9.9,201.68,8.43,-52.07
0.016,-0.52,-0.879,0.028,-0.002,0.03,-30.3,-255.0,-11.1,201.69,8.5,-52.38
0.015,-0.529,-0.882,0.021,-0.009,0.058,-28.95,-255.15,-9.9,201.69,8.56,-52.7
0.015,-0.529,-0.882,0.027,-0.002,0.047,-28.95,-255.15,-9.9,201.7,8.62,-53.01
0.008,-0.535,-0.883,0.026,0.005,0.014,-27.9,-254.7,-9.45,201.7,8.68,-53.32
0.014,-0.535,-0.879,0.039,0.004,-0.023,-28.5,-255.0,-10.05,201.7,8.74,-53.64
0.014,-0.535,-0.879,0.053,0.011,-0.066,-28.65,-254.7,-10.65,201.7,8.8,-53.95
0.013,-0.524,-0.882,0.047,0.003,-0.051,-29.7,-255.15,-10.95,201.7,8.86,-54.26
0.022,-0.529,-0.884,0.039,-0.003,-0.021,-29.7,-255.15,-10.95,201.7,8.92,-54.58
0.021,-0.528,-0.883,0.024,-0.003,0.044,-29.4,-253.95,-9.15,201.69,8.98,-54.89
0.021,-0.528,-0.883,0.023,-0.002,0.06,-29.25,-255.3,-10.35,201.69,9.04,-55.2
0.017,-0.534,-0.884,0.018,-0.007,0.048,-29.7,-254.7,-10.2,201.69,9.09,-55.52
0.011,-0.535,-0.882,0.037,0.004,-0.01,-27.9,-255.6,-9.45,201.68,9.15,-55.83
0.011,-0.535,-0.882,0.042,0.006,-0.042,-27.9,-255.6,-9.45,201.67,9.21,-56.14
0.021,-0.529,-0.884,0.042,-0.0,-0.053,-29.7,-255.15,-9.9,201.66,9.26,-56.46
0.021,-0.523,-0.873,0.039,0.007,-0.031,-29.85,-255.75,-9.0,201.65,9.32,-56.77
0.017,-0.524,-0.881,0.031,-0.001,0.002,-29.85,-254.55,-9.0,201.64,9.37,-57.09
